COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
LUX,,ALL,2002,4087.36
LUX,,ALL,2003,3957.46
LUX,,ALL,2004,4550.83
LUX,,ALL,2005,4649.59
LUX,,ALL,2006,5220.28
LUX,,ALL,2007,4959.29
LUX,,ALL,2008,5534.53
LUX,,ALL,2009,5584.03
LUX,,ALL,2010,5597.85
LUX,,ALL,2011,5715.67
LUX,,ALL,2012,5459.2
LUX,,ALL,2013,5494.54
LUX,,ALL,2014,5717.26
LVA,,ALL,1995,146.55
LVA,,ALL,1996,144.47
LVA,,ALL,1997,159.28
LVA,,ALL,1998,183.77
LVA,,ALL,1999,194.78
LVA,,ALL,2000,182.61
LVA,,ALL,2001,195.99
LVA,,ALL,2002,227.01
LVA,,ALL,2003,244.86
LVA,,ALL,2004,308.23
LVA,,ALL,2005,338.77
LVA,,ALL,2006,470.04
LVA,,ALL,2007,526.64
LVA,,ALL,2008,538.89
LVA,,ALL,2009,477.38
LVA,,ALL,2010,483.83
LVA,,ALL,2011,527.61
LVA,,ALL,2012,526.63
LVA,,ALL,2013,558.59
LVA,,ALL,2014,594.05
MCO,,ALL,1995,2139.21
MCO,,ALL,1996,2131.72
MCO,,ALL,1997,2322.16
MCO,,ALL,1998,2340.04
MCO,,ALL,1999,2630.87
MCO,,ALL,2000,2692.54
MCO,,ALL,2001,2881.05
MCO,,ALL,2002,3059.84
MCO,,ALL,2003,3494.34
MCO,,ALL,2004,3691.13
MCO,,ALL,2005,3834.55
MCO,,ALL,2006,3880.56
MCO,,ALL,2007,3969.46
MCO,,ALL,2008,4337.56
MCO,,ALL,2009,4510.08
MCO,,ALL,2010,4705.31
MCO,,ALL,2011,4952.45
MCO,,ALL,2012,5125.77
MCO,,ALL,2013,5441.36
MCO,,ALL,2014,6465.98
MDA,,ALL,1995,93.11
